date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class,sentimento
2022-04-04 12:00:00,0.0021474791271896,70.0,12969500.0,-0.012612817071960158,13.0,24.0,0.00013880553638467852,0.0729970559757262,-0.1348866201035453,1,0,0,0.00123105874927,1.0,0.8519
2022-04-04 13:00:00,0.00023810895048148595,56.0,5156900.0,-0.0008843111020850891,23.0,36.0,0.0,0.0341486394849468,-0.1389880292754597,1,0,0,0.0003074742270459,1.0,0.0
2022-04-04 14:00:00,-0.0013200705096990673,63.0,2559500.0,0.005999219202603712,17.0,31.0,-0.00030280203640398184,0.0041205788625759,-0.1352128719182645,1,0,0,0.0064535672576595,1.0,-0.0772
2022-04-04 15:00:00,-0.0005633188115833354,58.0,8891600.0,0.010655942204856883,25.0,32.0,3.7860515553767016e-05,-0.0027005739048604,-0.1136272197485607,0,0,1,0.0,0.0,0.1779
2022-04-04 16:00:00,-0.0010623490112172673,51.0,4530400.0,0.001547723605729745,27.0,34.0,8.834106792687813e-05,-0.0080140061425382,-0.0951525215889908,0,0,0,0.0045801992634779,1.0,0.9911
2022-04-05 10:00:00,0.003060244066107165,56.0,0.0,0.005505115798571936,6.0,20.0,0.0002145270807187849,-0.0001196902342215,-0.0698065645445393,0,0,1,-0.0103343506631891,0.0,-0.5267
2022-04-05 11:00:00,0.008957926777806158,50.0,11491300.0,-0.01613678124413287,1.0,18.0,-0.0002775572245984348,-0.0210558401964391,-0.0725941716054055,1,0,0,0.001228412135845,1.0,-0.2023
2022-04-05 12:00:00,-0.0007077396303515338,61.0,2488200.0,0.0023430426931025927,9.0,31.0,-0.00042907641793266116,-0.034028202178149,-0.0684532268696923,0,0,0,0.0006135110030618,1.0,0.0
2022-04-05 13:00:00,-0.002618168317779057,77.0,5520000.0,0.0020453792560419792,17.0,35.0,-0.0002777582776321008,-0.0422084697532909,-0.0613067955558674,0,0,0,-0.001839287570764,0.0,0.6908
2022-04-05 14:00:00,0.001958033405584869,60.0,6181400.0,0.0016524669797675084,26.0,37.0,-0.0006440673922660789,-0.0529226331287233,-0.0576167671450398,0,0,0,-0.0003071909032127,0.0,0.4588
2022-04-05 15:00:00,-0.0010307612498486884,51.0,3140400.0,-0.01261526456340678,15.0,31.0,-0.0007203059358965591,-0.0615117049526077,-0.0529646711751393,0,0,0,-0.0039938885149717,0.0,0.6705
2022-04-05 16:00:00,0.0014617347367626987,51.0,5014900.0,-0.014840315835188966,19.0,28.0,-0.0009484546532347871,-0.0779105022146637,-0.0554907747497563,1,0,0,-0.0086366068818931,0.0,0.9963
2022-04-06 10:00:00,0.011269533680962729,34.0,0.0,0.011472481548152391,3.0,9.0,-0.001734153915514236,-0.1122067787346594,-0.0718296410158016,1,1,0,0.0074673827947893,1.0,-0.1779
2022-04-06 11:00:00,-0.0035236211566258557,50.0,14641000.0,-0.0005917502609226188,5.0,26.0,-0.0012172842934869976,-0.1186529380822136,-0.0626206402906846,1,0,1,-0.0012353586846151,0.0,0.8481
2022-04-06 12:00:00,-0.0008094398420327442,60.0,4397000.0,-0.018553289734929312,5.0,20.0,-0.0013203342920024008,-0.1255421338172908,-0.0556078688206094,1,0,0,0.0034013794011302,1.0,0.9584
2022-04-06 13:00:00,0.0021958682788065786,75.0,3927400.0,-0.0006032937198076072,11.0,24.0,-0.0014364907314553532,-0.1207339947917489,-0.040639783836054,0,0,0,-0.0043143108276387,0.0,-0.8126
2022-04-06 14:00:00,0.0009784239563950248,62.0,5075600.0,-0.026763216108761645,28.0,29.0,-0.0015531277878229055,-0.1267590908001992,-0.0373319038756034,1,0,0,-0.0006190175460718,0.0,-0.3818
