date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdsignal,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class
2022-02-04 12:00:00,5.342599868774414,53.0,5057800.0,92.62000274658205,5.0,25.0,32.49958316485087,-0.11780709553867297,-0.18608762183519043,0.06828052629651746,0,0,0,0.011290782017584933,1.0
2022-02-04 13:00:00,5.326600074768066,42.0,9539100.0,92.66000366210938,19.0,22.0,32.52458310127258,-0.052978199874154086,-0.15946573744298315,0.10648753756882906,0,0,1,-0.005733211533139992,0.0
2022-02-04 14:00:00,5.327000141143799,44.0,4866200.0,92.33000183105467,21.0,32.0,32.54791649182638,-0.016739175488439173,-0.13092042505207435,0.11418124956363518,0,0,0,-0.0033384099485449514,0.0
2022-02-04 15:00:00,5.324699878692627,51.0,3850100.0,92.62999725341795,15.0,33.0,32.56791647275289,0.003069004905242423,-0.104122539060611,0.10719154396585343,0,0,0,-0.007308211856018598,0.0
2022-02-07 10:00:00,5.297500133514404,49.0,7078600.0,92.23999786376952,0.0,7.0,32.58416644732157,-0.000592172896546117,-0.08341646582779802,0.0828242929312519,0,0,0,-0.0052146680031369685,0.0
2022-02-07 11:00:00,5.288099765777588,38.0,6505600.0,91.11000061035156,0.0,17.0,32.577916383743286,-0.01701497612838665,-0.07013616788791574,0.05312119175952909,0,0,0,0.005858730339840967,1.0
2022-02-07 12:00:00,5.288300037384033,42.0,3433300.0,91.56999969482422,5.0,19.0,32.55041639010111,-0.014531356289040787,-0.05901520556814075,0.044483849279099964,0,0,0,-0.002759048299658895,0.0
2022-02-07 13:00:00,5.291900157928467,58.0,3395100.0,91.38999938964844,20.0,24.0,32.52874970436096,-0.019599400139426848,-0.05113204448239797,0.03153264434297112,0,0,0,-0.006762908523251232,0.0
2022-02-07 14:00:00,5.271999835968018,52.0,10092100.0,91.16000366210938,20.0,29.0,32.50208306312561,-0.04089638540000351,-0.04908491266591908,0.008188527265915568,0,0,0,0.0021665023784889215,1.0
2022-02-07 15:00:00,5.265100002288818,63.0,2851000.0,91.0999984741211,15.0,28.0,32.477083126703896,-0.051531980699095925,-0.049574326272554446,-0.001957654426541479,0,0,0,-0.02625078299662953,0.0
2022-02-08 10:00:00,5.27370023727417,50.0,12469300.0,89.72000122070312,2.0,13.0,32.42208321889242,-0.1270837512563716,-0.06507621126931788,-0.06200753998705373,1,1,0,-0.0041230911920117075,0.0
2022-02-08 11:00:00,5.266600131988525,53.0,8064400.0,89.30000305175781,0.0,39.0,32.37541651725769,-0.19519894158529638,-0.09110075733251358,-0.1040981842527828,1,1,0,-0.0025477683018456654,0.0
2022-02-08 12:00:00,5.2733001708984375,51.0,7803800.0,88.83999633789062,2.0,34.0,32.31708312034607,-0.2527228146276954,-0.12342516879154994,-0.12929764583614548,1,1,0,0.002554276005286127,1.0
2022-02-08 13:00:00,5.269299983978272,53.0,4340900.0,88.94000244140625,16.0,28.0,32.269166469573975,-0.28852958375698634,-0.15644605178463722,-0.13208353197234912,1,1,0,0.00541401523437024,1.0
